,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed,deaths
Alabama,1533.0,4850771.0,1065625.0,0.21968157226964538,695.1239399869537,0.03486771677626548
Alaska,119.0,738565.0,117047.0,0.15847894227319193,983.5882352941177,0.02040816326530612
Arizona,1559.0,6809946.0,1502688.0,0.2206607805700662,963.879409878127,0.0412447885646218
Arkansas,732.0,2977944.0,655552.0,0.22013577152558947,895.5628415300547,0.016617790811339198
California,7338.0,38982847.0,7292299.0,0.1870643003575393,993.7720087217225,0.03981596177667669
Colorado,1095.0,5436519.0,1031196.0,0.18967946217055437,941.7315068493151,0.051072152999130684
Connecticut,674.0,3594478.0,805545.0,0.22410625409308388,1195.1706231454007,0.07739354540908566
Delaware,186.0,943732.0,220732.0,0.23389267291985436,1186.731182795699,0.030033637674195098
District of Columbia,314.0,672391.0,113026.0,0.16809564672935837,359.95541401273886,0.047533401849948614
Florida,5604.0,20278447.0,5200132.0,0.25643640264957174,927.9321912919344,0.03383131030189854
Georgia,2508.0,10201635.0,1863154.0,0.18263288188608984,742.884370015949,0.042231693142192946
Hawaii,201.0,1421658.0,326878.0,0.22992731022510338,1626.2587064676618,0.02666666666666667
Idaho,314.0,1657375.0,342148.0,0.2064397013349423,1089.6433121019109,0.032492997198879554
Illinois,3144.0,12854526.0,2614633.0,0.2034017434793006,831.6262722646311,0.04341477235577447
Indiana,1861.0,6614418.0,1369219.0,0.2070052119475969,735.7436861902203,0.0528788922999812
Iowa,545.0,3118102.0,698176.0,0.2239105712385291,1281.056880733945,0.021642808452624403
Kansas,767.0,2903820.0,600412.0,0.2067662596166429,782.8057366362451,0.03713527851458886
Kentucky,1392.0,4424376.0,947950.0,0.2142562024565724,680.9985632183908,0.05209840810419682
Louisiana,1289.0,4663461.0,936828.0,0.2008868520611623,726.7866563227308,0.06269395596276045
Maine,256.0,1330158.0,348777.0,0.26220719643831786,1362.41015625,0.04985337243401759
Maryland,1134.0,5996079.0,1211919.0,0.20211858449496747,1068.7116402116403,0.044029352901934625
Massachusetts,1326.0,6789319.0,1471985.0,0.21680893179419025,1110.0942684766214,0.053186213736672455
Michigan,2423.0,9925568.0,2227519.0,0.22442232021381547,919.3227404044572,0.08918565069389893
Minnesota,1171.0,5490726.0,1140063.0,0.2076342909844709,973.5807002561913,0.0749475890985325
Mississippi,824.0,2986220.0,614864.0,0.20590043600270577,746.1941747572815,0.037577945520183786
Missouri,1888.0,6075300.0,1333838.0,0.21955096867644397,706.4819915254237,0.041277367173337055
Montana,165.0,1029862.0,250486.0,0.24322287840506787,1518.0969696969696,0.031180400890868598
Nebraska,440.0,1893921.0,391359.0,0.20663955888339589,889.4522727272728,0.015772870662460567
Nevada,900.0,2887725.0,589328.0,0.20408037468941814,654.8088888888889,0.046516567544604925
New Hampshire,242.0,1331848.0,312572.0,0.23469044515590368,1291.6198347107438,0.030959752321981424
New Jersey,1822.0,8960161.0,1892597.0,0.211223548326866,1038.7469813391876,0.054358383998273196
New Mexico,340.0,2084828.0,459775.0,0.22053378024470124,1352.2794117647059,0.036814159292035395
New York,3952.0,19798228.0,4201533.0,0.21221762876960504,1063.1409412955466,0.05925137059244522
North Carolina,2227.0,10052564.0,2115334.0,0.21042730988830313,949.8581050740908,0.03620651936119011
North Dakota,238.0,745475.0,151255.0,0.202897481471545,635.5252100840336,0.020169851380042462
Ohio,3314.0,11609756.0,2593757.0,0.22341184431438524,782.666566083283,0.04612557427258805
Oklahoma,1064.0,3896251.0,800259.0,0.20539205508064035,752.1231203007519,0.060060975609756095
Oregon,663.0,4025127.0,928932.0,0.2307832771487707,1401.10407239819,0.03908241291418862
Pennsylvania,3169.0,12790505.0,3027054.0,0.23666415047724856,955.2079520353424,0.044502378338821806
Rhode Island,279.0,1056138.0,237693.0,0.22505865710730985,851.9462365591398,0.0302283341982356
South Carolina,1225.0,4893444.0,1109892.0,0.22681203667600977,906.0342857142857,0.03153393907001603
South Dakota,152.0,855444.0,186396.0,0.21789386564170185,1226.2894736842106,0.004897595725734639
Tennessee,2209.0,6597381.0,1419659.0,0.21518523789970595,642.6704391127207,0.019599836668027767
Texas,6199.0,27419612.0,4618463.0,0.1684364826168948,745.0335537989998,0.026926040061633284
Utah,565.0,2993941.0,442482.0,0.14779249156880514,783.153982300885,0.00967894239848914
Vermont,94.0,624636.0,156189.0,0.2500480279714906,1661.5851063829787,0.05497076023391813
Virginia,1654.0,8365952.0,1685377.0,0.20145669016508821,1018.9703748488513,0.03383819726634651
Washington,1265.0,7169967.0,1473729.0,0.2055419501930762,1165.003162055336,0.055611656087709176
West Virginia,653.0,1836843.0,469300.0,0.2554927122241803,718.6830015313935,0.034354688950789226
Wisconsin,1159.0,5763217.0,1267239.0,0.21988396411240457,1093.3899913718724,0.04620950501562243
Wyoming,102.0,583200.0,123584.0,0.21190672153635118,1211.6078431372548,0.017994858611825194
