,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed,cases,deaths,fatal_rate,state_income
Alabama,1533,4850771,1065625,0.219681572,695.12394,6539,228,0.034867717,26724809
Alaska,119,738565,117047,0.158478942,983.5882353,343,7,0.020408163,5287377
Arizona,1559,6809946,1502688,0.220660781,963.8794099,6716,277,0.041244789,46226885
Arkansas,732,2977944,655552,0.220135772,895.5628415,3069,51,0.016617791,32029540
California,7338,38982847,7292299,0.1870643,993.7720087,45208,1800,0.039815962,456555954
Colorado,1095,5436519,1031196,0.189679462,941.7315068,13804,705,0.051072153,58707795
Connecticut,674,3594478,805545,0.224106254,1195.170623,25997,2012,0.077393545,53729155
Delaware,186,943732,220732,0.233892673,1186.731183,4162,125,0.030033638,19038671
District of Columbia,314,672391,113026,0.168095647,359.955414,3892,185,0.047533402,28443717
Florida,5604,20278447,5200132,0.256436403,927.9321913,32130,1087,0.03383131,205694126
Georgia,2508,10201635,1863154,0.182632882,742.88437,23229,981,0.042231693,92804948
Hawaii,201,1421658,326878,0.22992731,1626.258706,600,16,0.026666667,9591724
Idaho,314,1657375,342148,0.206439701,1089.643312,1785,58,0.032492997,10858404
Illinois,3144,12854526,2614633,0.203401743,831.6262723,45883,1992,0.043414772,161189282
Indiana,1861,6614418,1369219,0.207005212,735.7436862,15961,844,0.052878892,58698927
Iowa,545,3118102,698176,0.223910571,1281.056881,5868,127,0.021642808,25111982
Kansas,767,2903820,600412,0.20676626,782.8057366,3393,126,0.037135279,25813743
Kentucky,1392,4424376,947950,0.214256202,680.9985632,4146,216,0.052098408,34754947
Louisiana,1289,4663461,936828,0.200886852,726.7866563,27068,1697,0.062693956,41982123
Maine,256,1330158,348777,0.262207196,1362.410156,1023,51,0.049853372,7925462
Maryland,1134,5996079,1211919,0.202118584,1068.71164,19487,858,0.044029353,72561209
Massachusetts,1326,6789319,1471985,0.216808932,1110.094268,56462,3003,0.053186214,117998443
Michigan,2423,9925568,2227519,0.22442232,919.3227404,38190,3406,0.089185651,83256186
Minnesota,1171,5490726,1140063,0.207634291,973.5807003,3816,286,0.074947589,99354057
Mississippi,824,2986220,614864,0.205900436,746.1941748,6094,229,0.037577946,11460401
Missouri,1888,6075300,1333838,0.219550969,706.4819915,7171,296,0.041277367,63139167
Montana,165,1029862,250486,0.243222878,1518.09697,449,14,0.031180401,6229347
Nebraska,440,1893921,391359,0.206639559,889.4522727,3487,55,0.015772871,25312311
Nevada,900,2887725,589328,0.204080375,654.8088889,4708,219,0.046516568,23317912
New Hampshire,242,1331848,312572,0.234690445,1291.619835,1938,60,0.030959752,12291272
New Jersey,1822,8960161,1892597,0.211223548,1038.746981,111188,6044,0.054358384,138976784
New Mexico,340,2084828,459775,0.22053378,1352.279412,2825,104,0.036814159,9002297
New York,3952,19798228,4201533,0.212217629,1063.140941,292027,17303,0.059251371,281220376
North Carolina,2227,10052564,2115334,0.21042731,949.8581051,9142,331,0.036206519,82539491
North Dakota,238,745475,151255,0.202897481,635.5252101,942,19,0.020169851,6578855
Ohio,3314,11609756,2593757,0.223411844,782.6665661,16325,753,0.046125574,140891209
Oklahoma,1064,3896251,800259,0.205392055,752.1231203,3280,197,0.060060976,27908169
Oregon,663,4025127,928932,0.230783277,1401.104072,2354,92,0.039082413,33802142
Pennsylvania,3169,12790505,3027054,0.23666415,955.207952,43728,1946,0.044502378,136268950
Rhode Island,279,1056138,237693,0.225058657,851.9462366,7708,233,0.030228334,14725607
South Carolina,1225,4893444,1109892,0.226812037,906.0342857,5613,177,0.031533939,28552567
South Dakota,152,855444,186396,0.217893866,1226.289474,2246,11,0.004897596,8200403
Tennessee,2209,6597381,1419659,0.215185238,642.6704391,9796,192,0.019599837,68888235
Texas,6199,27419612,4618463,0.168436483,745.0335538,25960,699,0.02692604,280048364
Utah,565,2993941,442482,0.147792492,783.1539823,4236,41,0.009678942,23401402
Vermont,94,624636,156189,0.250048028,1661.585106,855,47,0.05497076,4417527
Virginia,1654,8365952,1685377,0.20145669,1018.970375,13535,458,0.033838197,84844999
Washington,1265,7169967,1473729,0.20554195,1165.003162,13864,771,0.055611656,90404108
West Virginia,653,1836843,469300,0.255492712,718.6830015,1077,37,0.034354689,6911139
Wisconsin,1159,5763217,1267239,0.219883964,1093.389991,6081,281,0.046209505,51992826
Wyoming,102,583200,123584,0.211906722,1211.607843,389,7,0.017994859,4930650
