state,state_income
Alabama,26724809
Alaska,5287377
Arizona,46226885
Arkansas,32029540
California,456555954
Colorado,58707795
Connecticut,53729155
Delaware,19038671
District of Columbia,28443717
Florida,205694126
Georgia,92804948
Hawaii,9591724
Idaho,10858404
Illinois,161189282
Indiana,58698927
Iowa,25111982
Kansas,25813743
Kentucky,34754947
Louisiana,41982123
Maine,7925462
Maryland,72561209
Massachusetts,117998443
Michigan,83256186
Minnesota,99354057
Mississippi,11460401
Missouri,63139167
Montana,6229347
Nebraska,25312311
Nevada,23317912
New Hampshire,12291272
New Jersey,138976784
New Mexico,9002297
New York,281220376
North Carolina,82539491
North Dakota,6578855
Ohio,140891209
Oklahoma,27908169
Oregon,33802142
Pennsylvania,136268950
Rhode Island,14725607
South Carolina,28552567
South Dakota,8200403
Tennessee,68888235
Texas,280048364
Utah,23401402
Vermont,4417527
Virginia,84844999
Washington,90404108
West Virginia,6911139
Wisconsin,51992826
Wyoming,4930650
